true_label,predicted_label
content,caring
anxious,anxious
angry,angry
sentimental,grateful
guilty,ashamed
content,proud
surprised,apprehensive
anticipating,anticipating
joyful,nostalgic
proud,proud
afraid,terrified
caring,caring
ashamed,disappointed
joyful,excited
embarrassed,annoyed
sad,caring
ashamed,caring
sentimental,grateful
annoyed,disgusted
trusting,impressed
disgusted,afraid
lonely,lonely
sentimental,sentimental
surprised,surprised
hopeful,anxious
disappointed,ashamed
excited,joyful
confident,impressed
excited,excited
lonely,grateful
prepared,prepared
grateful,lonely
furious,trusting
apprehensive,annoyed
prepared,excited
disgusted,disgusted
angry,annoyed
content,confident
caring,caring
excited,nostalgic
jealous,jealous
impressed,sentimental
furious,angry
grateful,devastated
embarrassed,embarrassed
prepared,proud
surprised,grateful
nostalgic,nostalgic
content,caring
nostalgic,sentimental
anxious,disappointed
ashamed,guilty
excited,excited
annoyed,annoyed
angry,surprised
caring,devastated
hopeful,hopeful
grateful,grateful
hopeful,hopeful
embarrassed,guilty
angry,annoyed
anxious,apprehensive
terrified,afraid
disappointed,annoyed
terrified,guilty
disappointed,lonely
jealous,annoyed
prepared,confident
anticipating,angry
disgusted,annoyed
devastated,guilty
sentimental,sentimental
prepared,sentimental
surprised,surprised
embarrassed,anxious
angry,content
content,content
surprised,surprised
content,jealous
devastated,devastated
trusting,grateful
terrified,terrified
sentimental,trusting
terrified,anxious
devastated,sad
grateful,grateful
grateful,grateful
anticipating,hopeful
disappointed,disgusted
content,proud
sad,nostalgic
apprehensive,guilty
excited,guilty
content,content
excited,disgusted
lonely,disgusted
jealous,impressed
proud,proud
confident,confident
caring,content
anticipating,surprised
excited,confident
anxious,anxious
terrified,terrified
anticipating,anxious
ashamed,embarrassed
proud,hopeful
caring,joyful
embarrassed,trusting
angry,devastated
disappointed,disappointed
proud,proud
confident,confident
disgusted,guilty
ashamed,guilty
disappointed,guilty
sentimental,lonely
content,joyful
disappointed,sentimental
terrified,prepared
disappointed,disappointed
furious,jealous
ashamed,nostalgic
ashamed,disgusted
annoyed,angry
guilty,guilty
faithful,surprised
anxious,anticipating
caring,prepared
anxious,anxious
nostalgic,nostalgic
furious,excited
embarrassed,disgusted
content,content
